Economy,Year,Economy Code,"Population, total"
Lebanon,2023,LBN,5353930.000
Lesotho,2023,LSO,2330318.000
Liberia,2023,LBR,5418377.000
Libya,2023,LBY,6888388.000
Liechtenstein,2023,LIE,39584.000
Lithuania,2023,LTU,2871897.000
Luxembourg,2023,LUX,668606.000
"Macao SAR, China",2023,MAC,704149.000
Madagascar,2023,MDG,30325732.000
Malawi,2023,MWI,20931751.000
Malaysia,2023,MYS,34308525.000
Maldives,2023,MDV,521021.000
Mali,2023,MLI,23293698.000
Malta,2023,MLT,553214.000
Marshall Islands,2023,MHL,41996.000
Mauritania,2023,MRT,4862989.000
Mauritius,2023,MUS,1261041.000
Mexico,2023,MEX,128455567.000
"Micronesia, Fed. Sts.",2023,FSM,115224.000
Moldova,2023,MDA,2486891.000
Monaco,2023,MCO,36297.000
Mongolia,2023,MNG,3447157.000
Montenegro,2023,MNE,616177.000
Morocco,2023,MAR,37840044.000
Mozambique,2023,MOZ,33897354.000
Myanmar,2023,MMR,54577997.000
Namibia,2023,NAM,2604172.000
Nauru,2023,NRU,12780.000
Nepal,2023,NPL,30896590.000
Netherlands,2023,NLD,17879488.000
New Caledonia,2023,NCL,267940.000
New Zealand,2023,NZL,5223100.000
Nicaragua,2023,NIC,7046310.000
Niger,2023,NER,27202843.000
Nigeria,2023,NGA,223804632.000
North Macedonia,2023,MKD,1811980.000
Northern Mariana Islands,2023,MNP,49796.000
Norway,2023,NOR,5519594.000
Oman,2023,OMN,4644384.000
Pakistan,2023,PAK,240485658.000
Palau,2023,PLW,18058.000
Panama,2023,PAN,4468087.000
Papua New Guinea,2023,PNG,10329931.000
Paraguay,2023,PRY,6861524.000
Peru,2023,PER,34352719.000
Philippines,2023,PHL,117337368.000
Poland,2023,POL,36685849.000
Portugal,2023,PRT,10525347.000
Puerto Rico,2023,PRI,3205691.000
Qatar,2023,QAT,2716391.000
Romania,2023,ROU,19056116.000
Russian Federation,2023,RUS,143826130.000
Rwanda,2023,RWA,14094683.000
Samoa,2023,WSM,225681.000
San Marino,2023,SMR,33642.000
Sao Tome and Principe,2023,STP,231856.000
Saudi Arabia,2023,SAU,36947025.000
Senegal,2023,SEN,17763163.000
Serbia,2023,SRB,6618026.000
Seychelles,2023,SYC,119773.000
Sierra Leone,2023,SLE,8791092.000
Singapore,2023,SGP,5917648.000
Sint Maarten (Dutch part),2023,SXM,41163.000
Slovak Republic,2023,SVK,5426740.000
Slovenia,2023,SVN,2120937.000
Solomon Islands,2023,SLB,740424.000
Somalia,2023,SOM,18143378.000
South Africa,2023,ZAF,60414495.000
South Sudan,2023,SSD,11088796.000
Spain,2023,ESP,48373336.000
Sri Lanka,2023,LKA,22037000.000
St. Kitts and Nevis,2023,KNA,47755.000
St. Lucia,2023,LCA,180251.000
St. Martin (French part),2023,MAF,32077.000
St. Vincent and the Grenadines,2023,VCT,103698.000
Sudan,2023,SDN,48109006.000
Suriname,2023,SUR,623236.000
Sweden,2023,SWE,10536632.000
Switzerland,2023,CHE,8849852.000
Syrian Arab Republic,2023,SYR,23227014.000
Tajikistan,2023,TJK,10143543.000
Tanzania,2023,TZA,67438106.000
Thailand,2023,THA,71801279.000
Timor-Leste,2023,TLS,1360596.000
Togo,2023,TGO,9053799.000
Tonga,2023,TON,107773.000
Trinidad and Tobago,2023,TTO,1534937.000
Tunisia,2023,TUN,12458223.000
Turkiye,2023,TUR,85326000.000
Turkmenistan,2023,TKM,6516100.000
Turks and Caicos Islands,2023,TCA,46062.000
Tuvalu,2023,TUV,11396.000
Uganda,2023,UGA,48582334.000
Ukraine,2023,UKR,37000000.000
United Arab Emirates,2023,ARE,9516871.000
United Kingdom,2023,GBR,68350000.000
United States,2023,USA,334914895.000
Uruguay,2023,URY,3423108.000
Uzbekistan,2023,UZB,36412350.000
Vanuatu,2023,VUT,334506.000
"Venezuela, RB",2023,VEN,28838499.000
Vietnam,2023,VNM,98858950.000
Virgin Islands (U.S.),2023,VIR,104917.000
West Bank and Gaza,2023,PSE,5165775.000
"Yemen, Rep.",2023,YEM,34449825.000
Zambia,2023,ZMB,20569737.000
Zimbabwe,2023,ZWE,16665409.000
